comparison,metric,n,mean_diff,median_diff,win_rate,lose_rate,tie_rate
hybrid_rag - no_rag,f1,398,0.07319193662795692,0.0,0.48743718592964824,0.052763819095477386,0.45979899497487436
hybrid_rag - no_rag,evidence_hit_rate,398,0.1421918820825117,0.0,0.17336683417085427,0.0,0.8266331658291457
hybrid_rag - no_rag,citation_hit_rate,398,0.535175879396985,1.0,0.535175879396985,0.0,0.4648241206030151
hybrid_rag - no_rag,heuristic_hallucination,398,-0.20854271356783918,0.0,0.1457286432160804,0.3542713567839196,0.5
hybrid_rag - no_rag,prompt_tokens,398,479.1959798994975,472.0,1.0,0.0,0.0
hybrid_rag - toc_rag,f1,398,0.0002413703927738813,0.0,0.20351758793969849,0.1658291457286432,0.6306532663316583
hybrid_rag - toc_rag,evidence_hit_rate,398,-0.009905972439226947,0.0,0.002512562814070352,0.017587939698492462,0.9798994974874372
hybrid_rag - toc_rag,citation_hit_rate,398,0.3417085427135678,0.0,0.34673366834170855,0.005025125628140704,0.6482412060301508
hybrid_rag - toc_rag,heuristic_hallucination,398,0.020100502512562814,0.0,0.04271356783919598,0.022613065326633167,0.9346733668341709
hybrid_rag - toc_rag,prompt_tokens,398,-9.587939698492463,29.5,0.5452261306532663,0.4547738693467337,0.0
hybrid_rag - vector_rag,f1,398,-0.03202194522594173,0.0,0.24371859296482412,0.3944723618090452,0.36180904522613067
hybrid_rag - vector_rag,evidence_hit_rate,398,-0.2814736135050944,0.0,0.06030150753768844,0.4045226130653266,0.535175879396985
hybrid_rag - vector_rag,citation_hit_rate,398,-0.23115577889447236,0.0,0.0728643216080402,0.30402010050251255,0.6231155778894473
hybrid_rag - vector_rag,heuristic_hallucination,398,0.24623115577889448,0.0,0.24874371859296482,0.002512562814070352,0.7487437185929648
hybrid_rag - vector_rag,prompt_tokens,398,-2158.896984924623,-2158.0,0.0,1.0,0.0
toc_rag - no_rag,f1,398,0.07295056623518305,0.005685047474290848,0.5050251256281407,0.03768844221105527,0.457286432160804
toc_rag - no_rag,evidence_hit_rate,398,0.15209785452173863,0.0,0.18341708542713567,0.0,0.8165829145728644
toc_rag - no_rag,citation_hit_rate,398,0.1934673366834171,0.0,0.1934673366834171,0.0,0.8065326633165829
toc_rag - no_rag,heuristic_hallucination,398,-0.228643216080402,0.0,0.1306532663316583,0.3592964824120603,0.5100502512562815
toc_rag - no_rag,prompt_tokens,398,488.78391959798995,429.0,1.0,0.0,0.0
vector_rag - no_rag,f1,398,0.10521388185389867,0.05419560313177335,0.5954773869346733,0.02512562814070352,0.3793969849246231
vector_rag - no_rag,evidence_hit_rate,398,0.42366549558760613,0.0,0.49748743718592964,0.0,0.5025125628140703
vector_rag - no_rag,citation_hit_rate,398,0.7663316582914573,1.0,0.7663316582914573,0.0,0.23366834170854273
vector_rag - no_rag,heuristic_hallucination,398,-0.4547738693467337,0.0,0.007537688442211055,0.4623115577889447,0.5301507537688442
vector_rag - no_rag,prompt_tokens,398,2638.092964824121,2605.0,1.0,0.0,0.0
toc_rag - vector_rag,f1,398,-0.032263315618715614,0.0,0.228643216080402,0.40954773869346733,0.36180904522613067
toc_rag - vector_rag,evidence_hit_rate,398,-0.27156764106586745,0.0,0.06281407035175879,0.39195979899497485,0.5452261306532663
toc_rag - vector_rag,citation_hit_rate,398,-0.5728643216080402,-1.0,0.01507537688442211,0.5879396984924623,0.3969849246231156
toc_rag - vector_rag,heuristic_hallucination,398,0.22613065326633167,0.0,0.228643216080402,0.002512562814070352,0.7688442211055276
toc_rag - vector_rag,prompt_tokens,398,-2149.309045226131,-2175.5,0.002512562814070352,0.9974874371859297,0.0
